doc,arquivo,contexto_id,categoria,trecho,termos_vizinhos
PDI_UFABC,PDI UFABC.pdf,19,academica_formativa,"contribuir para a formação universitária interdisciplinar, cidadã, crítica e responsável de estudantes, aprimorar a qualidade da formação acadêmica nos cursos de graduação e a formação na pós-graduação, fortalecer a indissociabilidade entre ensino, pesquisa e extensão, promover o encontro dialógico com todos os setores da sociedade, contribuindo para a transformação social, tornar a universidade um equipamento de cultura da comunidade, ampliar o conhecimento da população do entorno da ufabc sobre a instituição e suas atividades e prestação de serviços, parece ser, em geral, o que se almeja quando se curriculariza a extensão.","formação, graduação, extensão, contribuir, universitária, interdisciplinar, cidadã, crítica"
PDI_UFABC,PDI UFABC.pdf,20,indefinido,") e sim, juntos, com elas e eles investigar os condicionamentos sócio-históricos-culturais e construir conhecimento coletivo.","sim, juntos, elas, eles, investigar, condicionamentos, sócio, históricos"
PDI_UFABC,PDI UFABC.pdf,21,academica_formativa,"ufabc com vistas à curricularização, a considera “como um processo interdisciplinar, político educacional, cultural, científico ou tecnológico que promove a interação transformadora entre a ufabc e os outros setores da sociedade, por meio da produção e da aplicação do conhecimento, em articulação permanente com o ensino e/ou a pesquisa;","ufabc, vistas, curricularização, considera, processo, interdisciplinar, político, educacional"
PDI_UFABC,PDI UFABC.pdf,22,artistica_patrimonial,"e ação de cultura como uma ação que promove, difunde, cria, desenvolve, protege e valoriza o patrimônio históricocultural, considerando-se as dimensões cidadã, simbólica e econômica da cultura”.","ação, promove, difunde, cria, desenvolve, protege, valoriza, patrimônio"
PDI_UFABC,PDI UFABC.pdf,23,artistica_patrimonial,"portanto, as premissas basilares para pensar os próximos dez anos e criar as possibilidades de atuação das e dos nossos estudantes em cultura e extensão estão postas com essa definição e o alerta de paulo freire.","portanto, premissas, basilares, pensar, próximos, dez, anos, criar"
PDI_UFABC,PDI UFABC.pdf,24,indefinido,"ela se caracteriza por atividades que promovem a interação da universidade com a comunidade externa, visando o desenvolvimento social, cultural, econômico e educacional.","ela, caracteriza, atividades, promovem, interação, comunidade, externa, visando"
PDI_UFABC,PDI UFABC.pdf,25,diversidade_inclusao,"participação em projetos comunitários, atendimento à população nos campi, em projetos de inclusão social, organização de eventos culturais, educacionais, e cursos de capacitação, desenvolvimento de ações de preservação ambiental, dentre outras.","projetos, participação, comunitários, atendimento, população, campi, inclusão, social"
PDI_UFABC,PDI UFABC.pdf,26,artistica_patrimonial,"por fim, a cultura e a extensão são atividades de encontro humano, de estabelecimento e fortalecimento de laços, de fazer coletivo e devem ser pautadas em atividades presenciais e ocupação/apropriação física dos espaços na universidade, nas comunidades, nos territórios.","atividades, fim, extensão, são, encontro, humano, estabelecimento, fortalecimento"
PDI_UFABC,PDI UFABC.pdf,27,artistica_patrimonial,"a possibilidade de gravação de cursos, eventos e oficinas que potencializem em números o alcance relativo das atividades é desejável, mas não deve ser obstáculo para a realização dos objetivos-fim da cultura e extensão.","possibilidade, gravação, cursos, eventos, oficinas, potencializem, números, alcance"
PDI_UFABC,PDI UFABC.pdf,28,artistica_patrimonial,"políticas de cultura, arte, saúde, esporte e lazer, meio ambientepolíticas de cultura, arte, saúde, esporte e lazer, meio ambiente com o reconhecimento e a valorização de outros saberes e práticas,e com a reinterpretação social da natureza a partir de imaginários culturais, com o bem viver, se poderá construir uma nova racionalidade social, política, econômica e cultural indispensável para a transformação.","arte, saúde, esporte, lazer, meio, social, políticas, ambientepolíticas"
PDI_UFABC,PDI UFABC.pdf,29,indefinido,"isso nos instiga a construir espaços solidários e de cuidado, rompendo com modelos arraigados ao valorizar as diversas culturas e modos de vida que foram subjugados e silenciados pela imposição homogeneizadora do ocidente.","isso, instiga, construir, espaços, solidários, cuidado, rompendo, modelos"
PDI_UFABC,PDI UFABC.pdf,30,artistica_patrimonial,no contexto do novo pdi da ufabc não se pode contar com melhor base para construir as políticas de cultura e arte e para pensar nossas relações de cuidado:,"contexto, novo, ufabc, não, pode, contar, melhor, base"
PDI_UFABC,PDI UFABC.pdf,31,diversidade_inclusao,"é hora, portanto, se quisermos garantir o mais básico dos direitos - o direito de existir - de deixar os campi verdes, criar políticas de cultura, saúde, esporte e lazer e relações mais humanas com os espaços da instituição que mudem sua configuração.","mais, é, hora, portanto, quisermos, garantir, básico, direitos"
PDI_UFABC,PDI UFABC.pdf,32,organizacional_gestao,"a política institucional de cultura da ufabc deve incentivar e promover meios de produção e acessibilidade das manifestações culturais de discentes, trabalhadoras e trabalhadores em situação de terceirização, docentes e técnicas e técnicos e, principalmente, de toda a comunidade dos territórios em que a universidade impacta.","política, ufabc, deve, incentivar, promover, meios, produção, acessibilidade"
PDI_UFABC,PDI UFABC.pdf,33,organizacional_gestao,"cabe frisar que a política institucional de cultura pode orientar a atuação de todas as áreas da ufabc, uma vez que é um campo que atravessa interesses comuns.","cabe, frisar, política, pode, orientar, atuação, todas, áreas"
PDI_UFABC,PDI UFABC.pdf,34,organizacional_gestao,"a política também deve construir e manter relações institucionais com a gestão pública de cultura, tais como:","política, também, deve, construir, manter, relações, institucionais, gestão"
PDI_UFABC,PDI UFABC.pdf,35,indefinido,ministério conselhos municipais de cultura;,"ministério, conselhos, municipais"
PDI_UFABC,PDI UFABC.pdf,36,indefinido,"com instâncias governamentais de relações exteriores e diplomáticas, tais como com o desenvolvimento cultural.","instâncias, governamentais, relações, exteriores, diplomáticas, tais, desenvolvimento"
PDI_UFABC,PDI UFABC.pdf,37,artistica_patrimonial,"a ufabc deve atentar para não corroborar o senso comum de que a arte, as manifestações culturais e as linguagens artísticas suprem, nas universidades, a cota do entretenimento e do calendário de datas comemorativas, como se abrandasse a tecnicidade das atividades consideradas mais prestigiosas.","ufabc, deve, atentar, não, corroborar, senso, comum, arte"
PDI_UFABC,PDI UFABC.pdf,38,artistica_patrimonial,"os marcos institucionais, os indicadores, o orçamento e as ações da ufabc devem partir do princípio de que a cultura e a arte são atividades-fim justificadas em si mesmas, integradas aos processos de ensino-aprendizagem com resguardo às propriedades específicas e à pluralidade cultural.","marcos, institucionais, indicadores, orçamento, ações, ufabc, devem, partir"
PDI_UFABC,PDI UFABC.pdf,39,indefinido,"devemos nos consolidar como um equipamento cultural de ampla relevância e impacto nas cidades onde estão nossos campi e em seu entorno, em que a experiência criativa, a imaginação livre e a subjetividade são os elementos centrais da ação cotidiana.","devemos, consolidar, equipamento, ampla, relevância, impacto, cidades, onde"
PDI_UFABC,PDI UFABC.pdf,40,artistica_patrimonial,"nossas salas (de aula e de cinema), nosso teatro e ocupações artísticas, bibliotecas, auditórios, entidades e coletivos culturais, museus e centros de memória, laboratórios e salas de pesquisa, pátios e espaços abertos, enfim, toda a ufabc deve estimular o exercício da ética e da estética, da reescrita da história sob a perspectiva decolonial, da validação da memória, da integração da ancestralidade e da cosmologia como tecnologias ativas, da produção de tecnologias de comunicação que ultrapassem as do mercado.","salas, memória, tecnologias, nossas, aula, cinema, nosso, teatro"
PDI_UFABC,PDI UFABC.pdf,41,organizacional_gestao,"a política institucional de cultura da ufabc deve ser um instrumento que acione competências históricas complexas, como compreender e agir no tempo que se vive, mediar dilemas oriundos de variados campos do saber e traçar estratégias que só podem nascer da abstração que a arte e a cultura propiciam.","política, ufabc, deve, instrumento, acione, competências, históricas, complexas"
PDI_UFABC,PDI UFABC.pdf,42,artistica_patrimonial,"além disso, a política deve pautar, paralelamente, uma interação social que encontre reverberação nos espaços de convivência, como o surgimento de grupos que passam a realizar e/ou demandar atividades de interesse do nicho, expandindo a compreensão de cultura para além das artes ao integrar arte, cultura e tecnologia, fomentando a indústria forma virtuosa e inquestionável, que a universidade assume a incumbência de constituir o rol de aparelhos culturais públicos acessíveis e de excelência do país.","além, disso, política, deve, pautar, paralelamente, interação, social"
PDI_UFABC,PDI UFABC.pdf,43,academica_formativa,"a ufabc deve concentrar amplos esforços na promoção do encantamento entre a universidade e o seu entorno, por meio de uma programação plural de atividades extensionistas, de esporte, lazer, ensino, pesquisa e ocupação dos espaços com obras de arte e manifestações culturais, incluindo mobiliários agregadores que convidem todas as pessoas a circular pela instituição.","ufabc, deve, concentrar, amplos, esforços, promoção, encantamento, entorno"
PDI_UFABC,PDI UFABC.pdf,44,indefinido,"o bloco c pode atender a todas essas esferas de atuação da universidade, uma vez que os espaços culturais também são caracterizáveis como laboratórios de experimentações de todos os campos do saber?","bloco, c, pode, atender, todas, essas, esferas, atuação"
PDI_UFABC,PDI UFABC.pdf,45,indefinido,"no entanto, a cultura não se faz em um espaço;","entanto, não, faz, espaço"
PDI_UFABC,PDI UFABC.pdf,46,indefinido,"o campus auditórios, um para grandes eventos, hall e acoplado ao prédio do sistemas de biblioteca (sisbi), é potente para múltiplas ações culturais.","campus, auditórios, grandes, eventos, hall, acoplado, prédio, sistemas"
PDI_UFABC,PDI UFABC.pdf,47,artistica_patrimonial,"é imprescindível que esses ambientes sejam revitalizados, mantidos em pleno funcionamento técnico e que outros espaços pelo campus sejam criados, na verdade, adaptados para arte e cultura.","sejam, é, imprescindível, esses, ambientes, revitalizados, mantidos, pleno"
PDI_UFABC,PDI UFABC.pdf,48,artistica_patrimonial,"há múltiplos locais que, com pouca adequação estrutural, poderiam receber centenas de pessoas em atividades culturais e artísticas.","há, múltiplos, locais, pouca, adequação, estrutural, poderiam, receber"
PDI_UFABC,PDI UFABC.pdf,49,artistica_patrimonial,nenhuma dessas demandas poderá ser atendida sem uma ampla campanha com a comunidade acadêmica sobre a relevância da cultura e da arte e sem apoio técnico para realização de todas as atividades.,"nenhuma, dessas, demandas, poderá, atendida, ampla, campanha, comunidade"
PDI_UFABC,PDI UFABC.pdf,50,artistica_patrimonial,"ademais, nos dois campi os espaços diversos potenciais para cultura e arte precisam ser plenamente ocupados e apropriados pela comunidade.","ademais, dois, campi, espaços, diversos, potenciais, arte, precisam"
PDI_UFABC,PDI UFABC.pdf,51,artistica_patrimonial,"a implementação de uma política de cultura e de arte terá forte impacto na saúde da comunidade acadêmica, seus familiares e amigos.","implementação, política, arte, terá, forte, impacto, saúde, comunidade"
PDI_UFABC,PDI UFABC.pdf,52,indefinido,"isso possibilitaria que tivéssemos, como faremos na cultura, uma política de saúde.","isso, possibilitaria, tivéssemos, faremos, política, saúde"
PDI_UFABC,PDI UFABC.pdf,53,indefinido,"- , e saudável (paas) organizada em um conjunto de estratégias de modo a garantir às pessoas a realização de práticas alimentares apropriadas considerando as dimensões biológica, social e cultural.","saudável, paas, organizada, conjunto, estratégias, modo, garantir, s"
PDI_UFABC,PDI UFABC.pdf,54,indefinido,"o esporte não deve ser visto como uma competição, mas como uma oportunidade de participação cultural e educação integral.","esporte, não, deve, visto, competição, mas, oportunidade, participação"
PDI_UFABC,PDI UFABC.pdf,55,indefinido,"visa ao acesso à prática esportiva por meio de ações planejadas, inclusivas, educativas, culturais e lúdicas para crianças e adolescentes, desde os primeiros anos de idade;","visa, acesso, prática, esportiva, meio, ações, planejadas, inclusivas"
PDI_UFABC,PDI UFABC.pdf,56,artistica_patrimonial,"a cultura, a arte, o lazer, o esporte e a produção acadêmica e científica socializada em simpósios, colóquios, rodas de conversa, congressos, entre outros que ocuparem os espaços físicos da universidade com as pessoas presentes ajudarão a romper com o isolamento que leva ao adoecimento.","arte, lazer, esporte, produção, acadêmica, científica, socializada, simpósios"
PDI_UFABC,PDI UFABC.pdf,57,artistica_patrimonial,"tanto nas atividades extensionistas quanto nas específicas de implementação de ações de cultura, arte, esporte e lazer, a participação de discentes como protagonistas, de docentes e demais servidores para elaboração e acompanhamento é fundamental.","tanto, atividades, extensionistas, quanto, específicas, implementação, ações, arte"
PDI_UFABC,PDI UFABC.pdf,58,artistica_patrimonial," fortalecer a política de cultura e extensão com ênfase em investimentos e definição de critérios e indicadores territoriais, temporais e temáticos, bem como revisitando-se seus princípios e valores.","fortalecer, política, extensão, ênfase, investimentos, definição, critérios, indicadores"
PDI_UFABC,PDI UFABC.pdf,59,artistica_patrimonial, incorporar a concepção de territorialização na política de cultura e extensão da ufabc.,"incorporar, concepção, territorialização, política, extensão, ufabc"
PDI_UFABC,PDI UFABC.pdf,60,artistica_patrimonial, conceber programas de cultura e extensão:,"conceber, programas, extensão"
PDI_UFABC,PDI UFABC.pdf,61,artistica_patrimonial,"engenharias, ciências sociais aplicadas, ciências naturais, licenciaturas, cultura e arte, saúde e ciências da vida.","ciências, engenharias, sociais, aplicadas, naturais, licenciaturas, arte, saúde"
PDI_UFABC,PDI UFABC.pdf,62,artistica_patrimonial," fortalecer o protagonismo dos movimentos populares, coletivos e grupos periféricos na formulação e implementação da política de cultura e extensão.","fortalecer, protagonismo, movimentos, populares, coletivos, grupos, periféricos, formulação"
PDI_UFABC,PDI UFABC.pdf,63,organizacional_gestao," fortalecer a diretriz institucional da ufabc de fomento à construção coletiva e comunitária de formas mais justas de atuação a partir autonomia orçamentária, administrativa e de gestão de cada uma das atividades extensionistas, a fim de garantir o incentivo, fomento e execução das iniciativas pela atuação conjunta dos docentes, discentes docentes, discentes, técnicos/as-administrativos, terceirizados/as e demais integrantes das comunidades na consecução dos objetivos estratégicos e operacionais da política de cultura e extensão.","fomento, atuação, docentes, discentes, fortalecer, diretriz, ufabc, construção"
PDI_UFABC,PDI UFABC.pdf,64,artistica_patrimonial," considerar o princípio da extensão primordialmente como experiência presencial e territorial, seja nas comunidades externas ou nos campi da ufabc, em sintonia com a formulação “a cabeça pensa onde os pés pisam”  superar obstáculos e barreiras físicas, administrativas e conceituais para desenvolvimento da política de cultura e extensão.","extensão, considerar, princípio, primordialmente, experiência, presencial, territorial, seja"
PDI_UFABC,PDI UFABC.pdf,65,artistica_patrimonial," promover formações, debates, reflexões e produções a respeito da política de cultura e extensão por meio de intercâmbio com outras universidades, movimentos sociais, acadêmicos e extensionistas.","promover, formações, debates, reflexões, produções, respeito, política, extensão"
PDI_UFABC,PDI UFABC.pdf,66,artistica_patrimonial," mapear, permanentemente, o entorno com georreferenciamento considerando múltiplos territórios de atuação incluindo as comunidades participantes dos projetos e ações de extensão e cultura.","mapear, permanentemente, entorno, georreferenciamento, considerando, múltiplos, territórios, atuação"
PDI_UFABC,PDI UFABC.pdf,67,indefinido," estabelecer programas de cultura articulados com as políticas do ministério da cultura, das secretarias de auditórios de são bernardo do campo.","estabelecer, programas, articulados, políticas, ministério, secretarias, auditórios, são"
PDI_UFABC,PDI UFABC.pdf,68,artistica_patrimonial," inserir integrantes das comunidades a serem atendidas nas decisões acerca das políticas de extensão e cultura da ufabc,  criar espaços de representação plural junto à proec para todos os movimentos populares, promovendo, regularmente, audiências públicas para levantamento de demandas que orientariam as políticas e as ações.","políticas, inserir, integrantes, comunidades, serem, atendidas, decisões, acerca"
PDI_UFABC,PDI UFABC.pdf,69,artistica_patrimonial," lançar editais que priorizem e estimulem com recursos financeiros as atividades presenciais, com ampliação da estrutura de apoio à realização de práticas nos campi e sua divulgação  promover formação continuada acerca do que é uma universidade pública e seus espaços, com ampliação dos ambientes de arte e cultura dentro dos campi, modificação dos processos que envolvem vínculos de servidores ao patrimônio e criação de campanhas para que moradoras e moradores do entorno usufruam da infraestrutura da ufabc, como bibliotecas, espaços para caminhadas, ginásio, piscinas, entre outros.","ampliação, campi, espaços, lançar, editais, priorizem, estimulem, recursos"
PDI_UFABC,PDI UFABC.pdf,70,indefinido," fortalecer a articulação com redes públicas locais de saúde, educação, cultura, esporte e lazer, entre outros, com o intuito de contribuir para o acesso da comunidade universitária à atenção nesses serviços e visando o diálogo e parcerias entre a universidade e outros setores da sociedade.","outros, fortalecer, articulação, redes, públicas, locais, saúde, educação"
